Nível I,Nível II,Nível III,Distrito,Concelhos,Fonética
Portugal Continental,Região do Norte,Ave,Braga,Vieira do Minho,(pronuncia-se /viˈɐjɾɐ ðu ˈmiɲu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Vila Nova de Famalicão,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ fɐmɐliˈkɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Vizela,(pronuncia-se /viˈzɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,Arouca,(pronuncia-se /ɐˈɾowkɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,Espinho,(pronuncia-se /(ɨ)ʃˈpiɲu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Gondomar,(pronuncia-se /ɡõduˈmaɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Maia,(pronuncia-se /ˈmajɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Matosinhos,(pronuncia-se /mɐtuˈziɲuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,Oliveira de Azeméis,(pronuncia-se /oliˈvɐjɾɐ ðɨ ɐzɨˈmɐjʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Paredes,(pronuncia-se /pɐˈɾeðɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Porto,(pronuncia-se /ˈpoɾtu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Póvoa de Varzim,(pronuncia-se /ˈpɔvuɐ dɨ vɐɾˈzĩ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,Santa Maria da Feira,(pronuncia-se /ˈsɐ̃tɐ mɐˈɾiɐ dɐ ˈfɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Santo Tirso[2],(pronuncia-se /ˈsɐ̃tu ˈtiɾsu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,São João da Madeira,(pronuncia-se /sɐ̃w ʒuˈɐ̃w ðɐ mɐˈðɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Trofa[2],(pronuncia-se /ˈtɾɔfɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Aveiro,Vale de Cambra,(pronuncia-se /ˈval(ɨ) ðɨ ˈkɐ̃bɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Valongo,(pronuncia-se /vɐˈlõɡu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Vila do Conde,(pronuncia-se /ˈvilɐ du ˈkõdɨ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Área Metropolitana do Porto,Porto,Vila Nova de Gaia,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ ˈɣajɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Amarante,(pronuncia-se /ɐmɐˈɾɐ̃t(ɨ)]/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Baião,(pronuncia-se /baˈjɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Aveiro,Castelo de Paiva,(pronuncia-se /kɐʃˈtɛlu ðɨ ˈpajvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Braga,Celorico de Basto,(pronuncia-se /sɨloˈɾiku ðɨ ˈβaʃtu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Viseu,Cinfães,(pronuncia-se /sĩˈfɐ̃jʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Felgueiras,(pronuncia-se /ˌfɛɫˈgɐjɾɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Lousada,(pronuncia-se /lowˈzaðɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Marco de Canaveses,(pronuncia-se /ˈmaɾku ðɨ kɐnɐˈvezɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Paços de Ferreira,(pronuncia-se /ˈpasuʒ ðɨ fɨˈʁɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Porto,Penafiel,(pronuncia-se /pɨnɐfiˈɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Tâmega e Sousa,Viseu,Resende,(pronuncia-se /ˌʁɛˈzẽd(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Boticas,(pronuncia-se /buˈtikɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Chaves,(pronuncia-se /ˈʃavɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Montalegre,(pronuncia-se /mõtɐˈlɛɣɾ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Ribeira de Pena,(pronuncia-se /ʁiˈβɐjɾɐ ðɨ ˈpenɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Valpaços,(pronuncia-se /ˌvaɫˈpasuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Tâmega,Vila Real,Vila Pouca de Aguiar,(pronuncia-se /ˈvilɐ ˈpowkɐ ðɨ ɐɣiˈaɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Alijó,(pronuncia-se /ɐliˈʒɔ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Armamar,(pronuncia-se /ɐɾmɐˈmaɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Bragança,Carrazeda de Ansiães,(pronuncia-se /kɐʁɐˈzeðɐ ðɨ ɐ̃siˈɐ̃jʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Bragança,Freixo de Espada à Cinta,(pronuncia-se /ˈfɾɐjʃu dɨ (ɨ)ʃˈpada ˈsĩtɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Lamego,(pronuncia-se /lɐˈmeɣu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Mesão Frio,(pronuncia-se /mɨˈzɐ̃w ˈfɾi.u/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Moimenta da Beira,(pronuncia-se /mojˈmẽtɐ ðɐ ˈβɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Murça,(pronuncia-se /ˈmuɾsɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Penedono,(pronuncia-se /pɨnɨˈðonu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Peso da Régua,(pronuncia-se /ˈpezu ðɐ ˈʁɛɣwɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Sabrosa,(pronuncia-se /sɐˈβɾɔzɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Santa Marta de Penaguião,(pronuncia-se /ˈsɐ̃tɐ ˈmaɾtɐ ðɨ pɨnɐɣiˈɐ̃̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,São João da Pesqueira,(pronuncia-se /sɐ̃w ʒuˈɐ̃w dɐ pɨʃˈkɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Sernancelhe,(pronuncia-se /sɨɾnɐ̃ˈsɐʎ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Tabuaço,(pronuncia-se /tɐβuˈasu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Viseu,Tarouca,(pronuncia-se /tɐˈɾowkɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Bragança,Torre de Moncorvo,(pronuncia-se /ˈtoʁ(ɨ) ðɨ mõˈkoɾvu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Guarda,Vila Nova de Foz Côa,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ ˈfɔʃ ˈkoɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Douro,Vila Real,Vila Real,(pronuncia-se /ˈvilɐ ʁiˈaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Alfândega da Fé,(pronuncia-se /aɫˈfɐ̃dɨɣɐ ðɐ ˈfɛ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Bragança,(pronuncia-se /bɾɐˈɣɐ̃sɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Macedo de Cavaleiros,(pronuncia-se /mɐˈseðu ðɨ kɐvɐˈlɐjɾuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Miranda do Douro,(pronuncia-se /miˈɾɐ̃dɐ ðu ˈðowɾu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Mirandela,(pronuncia-se /miɾɐ̃ˈdɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Mogadouro,(pronuncia-se /muɣɐˈðowɾu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Vila Flor[2],(pronuncia-se /ˈvilɐ ˈfloɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Vimioso,(pronuncia-se /vimiˈozu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Terras de Trás-os-Montes,Bragança,Vinhais,(pronuncia-se /viˈɲajʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Águeda,(pronuncia-se /ˈagɨdɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Albergaria-a-Velha,(pronuncia-se /aɫβɨɾɣɐˈɾi.a ˈvɛʎɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Anadia,(pronuncia-se /ɐnɐˈði.ɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Aveiro,(pronuncia-se /aˈvejɾu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Estarreja,(pronuncia-se /(ɨ)ʃtɐˈʁɐjʒɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Ílhavo,(pronuncia-se /ˈiʎɐvu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Murtosa,(pronuncia-se /muɾˈtɔzɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Oliveira do Bairro,(pronuncia-se /oliˈvɐjɾɐ ðu ˈβajʁu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Ovar,(pronuncia-se /oˈvaɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Sever do Vouga,(pronuncia-se /sɨˈvɛɾ ðu ˈvowɣɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Aveiro,Aveiro,Vagos,(pronuncia-se /ˈvaɣuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Arganil,(pronuncia-se /ɐɾɣɐˈniɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Cantanhede,(pronuncia-se /kɐ̃tɐˈɲeð(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Coimbra,(pronuncia-se /ˈkwĩbɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Condeixa-a-Nova,(pronuncia-se /kõˈdɐjʃa ˈnɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Figueira da Foz,(pronuncia-se /fiˈɣɐjɾɐ ðɐ ˈfɔʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Góis,(pronuncia-se /ɡɔjʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Lousã,(pronuncia-se /lowˈzɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Aveiro,Mealhada[2],(pronuncia-se /miɐˈʎaðɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Mira,(pronuncia-se /ˈmiɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Miranda do Corvo,(pronuncia-se /miˈɾɐ̃dɐ ðu ˈkoɾvu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Montemor-o-Velho,(pronuncia-se /mõtɨˈmɔɾ u ˈvɛʎu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Viseu,Mortágua[2],(pronuncia-se /mɔɾˈtaɣwɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Oliveira do Hospital,(pronuncia-se /oliˈvɐjɾɐ ðu ɔʃpiˈtaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Pampilhosa da Serra,(pronuncia-se /pɐ̃piˈʎɔzɐ ðɐ ˈsɛʁɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Penacova,(pronuncia-se /pɨnɐˈkɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Penela,(pronuncia-se /pɨˈnɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Soure,(pronuncia-se /ˈsowɾ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Tábua,(pronuncia-se /ˈtaβuɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Coimbra,Coimbra,Vila Nova de Poiares,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ poˈjaɾɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Batalha,(pronuncia-se /bɐˈtaʎɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Leiria,(pronuncia-se /lɐjˈɾi.ɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Marinha Grande,(pronuncia-se /mɐˈɾiɲɐ ˈɣɾɐ̃d(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Pombal,(pronuncia-se /põˈbaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Porto de Mós,(pronuncia-se /ˈpoɾtu ðɨ ˈmɔʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Alvaiázere,(pronuncia-se /aɫvɐˈjazɨɾɨ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Ansião,(pronuncia-se /ɐ̃siˈɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Castanheira de Pera,(pronuncia-se /kɐʃtɐˈɲɐjɾɐ ðɨ ˈpeɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Figueiró dos Vinhos,(pronuncia-se /fiɣɐjˈɾɔ ðuʒ ˈviɲuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Região de Leiria,Leiria,Pedrógão Grande,(pronuncia-se /pɨˈðɾɔɣɐ̃w ˈɣɾɐ̃d(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Guarda,Aguiar da Beira,(pronuncia-se /ɐɣiˈaɾ ðɐ ˈβɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Carregal do Sal,(pronuncia-se /kɐʁɨˈɣaɫ du saɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Castro Daire,(pronuncia-se /ˈkaʃtɾu ˈðajɾ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Mangualde,(pronuncia-se /mɐ̃ˈɡwaɫd(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Nelas,(pronuncia-se /ˈnɛlɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Oliveira de Frades,(pronuncia-se /oliˈvɐjɾɐ ðɨ ˈfɾaðɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Penalva do Castelo,(pronuncia-se /pɨˈnaɫvɐ ðu kɐʃˈtɛlu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Santa Comba Dão,(pronuncia-se /ˈsɐ̃tɐ ˈkõbɐ ˈðɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,São Pedro do Sul,(pronuncia-se /sɐ̃w ˈpeðɾu ðu ˈsuɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Sátão,(pronuncia-se /ˈsatɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Tondela,(pronuncia-se /tõˈdɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Vila Nova de Paiva,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ ˈpajvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Viseu,(pronuncia-se /viˈzew/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Vouzela,(pronuncia-se /vowˈzɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Almeida,(pronuncia-se /ɐɫˈmejdɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Belmonte,(pronuncia-se /ˌbɛɫˈmõt(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Celorico da Beira,(pronuncia-se /sɨloˈɾiku ðɐ ˈβɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Covilhã,(pronuncia-se /kuviˈʎɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Figueira de Castelo Rodrigo,(pronuncia-se /fiˈɣɐjɾɐ ðɨ kɐʃˈtɛlu ʁuˈðɾiɣu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Fornos de Algodres,(pronuncia-se /ˈfɔɾnuʒ ðɨ ɐɫˈɣoðɾɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Fundão,(pronuncia-se /fũˈdɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Gouveia,(pronuncia-se /ɡowˈvɐjɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Guarda,(pronuncia-se /ˈɡwaɾdɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Manteigas,(pronuncia-se /mɐ̃ˈtɐjɣɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Mêda,(pronuncia-se /ˈmeðɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Pinhel,(pronuncia-se /piˈɲɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Sabugal,(pronuncia-se /sɐβuˈɣaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Seia,(pronuncia-se /ˈsɐjɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Trancoso,(pronuncia-se /tɾɐ̃ˈkozu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Castelo Branco,(pronuncia-se /kɐʃˈtɛlu ˈβɾɐ̃ku/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Idanha-a-Nova,(pronuncia-se /iˈðɐɲa ˈnɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Oleiros,(pronuncia-se /oˈlɐjɾuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Penamacor,(pronuncia-se /penɐmɐˈkoɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Proença-a-Nova,(pronuncia-se /pɾuˈẽsa ˈnɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Vila Velha de Ródão,(pronuncia-se /ˈvilɐ ˈvɛʎɐ ðɨ ˈʁɔðɐ̃w̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Alcobaça,(pronuncia-se /ɐɫkuˈβasɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Alenquer,(pronuncia-se /ɐlẽˈkɛɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Arruda dos Vinhos,(pronuncia-se /ɐˈʁuðɐ ðuʒ ˈviɲuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Bombarral,(pronuncia-se /bõbɐˈʁaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Cadaval,(pronuncia-se /kɐðɐˈvaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Caldas da Rainha,(pronuncia-se /ˈkaɫdɐʒ ðɐ ʁɐˈiɲɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Lourinhã,(pronuncia-se /loɾiˈɲɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Nazaré,(pronuncia-se /nɐzɐˈɾɛ/ (escutar (ajuda·info)))
